Company,Job Title,Location,Remote,Experience Level,Date Posted,Easy Apply,Applicants,Required Skills,Salary
Found By Few,Trainee Data Analyst,United Kingdom,Yes,Mid-level,2025-02-09,No,161,"SQL, Python, Tableau, Statistics",€35K - €45K
TELUS Digital,Data Scientist,France,Yes,Freelance,2025-02-01,Yes,38,"Tableau, Machine Learning, Statistics, Excel",€50K - €60K
Peroptyx,Data Scientist,Italy,Yes,Mid-level,2025-02-06,Yes,326,"Data Visualization, Machine Learning, ETL, Tableau, Power BI",£40K - £50K
Oeson Learning™,Data Scientist,Saudi Arabia,Yes,Mid-level,2025-02-20,Yes,414,"SQL, Excel, ETL, Statistics, Big Data, Machine Learning",$70K - $90K
Dataleum,Trainee Data Analyst,Germany,Yes,Fellowship,2025-02-09,No,296,"Statistics, Excel, Big Data",£40K - £50K
Found By Few,Trainee Data Analyst,Spain,Yes,Senior,2025-01-24,No,452,"Tableau, Big Data, Excel, Power BI, Statistics",€50K - €60K
Talent Glider,Data Analyst,Spain,Yes,Entry-level,2025-02-10,Yes,108,"ETL, Tableau, Power BI, Python",Not Disclosed
Found By Few,Data Scientist,Spain,Yes,Senior,2025-02-04,Yes,239,"Big Data, Python, Excel",£30K - £40K
Binance,Data Scientist,UAE,Yes,Mid-level,2025-02-04,No,100,"Tableau, Excel, Data Visualization",Not Disclosed
Cochrane,Data Science Intern,Italy,Yes,Entry-level,2025-01-31,No,110,"ETL, Statistics, Data Visualization, SQL, Big Data",$70K - $90K
Peroptyx,Data Scientist,United Kingdom,Yes,Freelance,2025-02-15,Yes,445,"SQL, ETL, Power BI, Big Data, Statistics",€35K - €45K
Binance,Trainee Data Analyst,France,Yes,Mid-level,2025-02-02,Yes,47,"Machine Learning, Tableau, Data Visualization",$70K - $90K
Binance,Online Data Analyst,Germany,Yes,Entry-level,2025-02-12,Yes,183,"Machine Learning, Tableau, Excel, Power BI, Statistics, SQL",£40K - £50K
Dataleum,Trainee Data Analyst,Nigeria,No,Entry-level,2025-02-02,Yes,275,"Tableau, ETL, Python, Big Data",€35K - €45K
Peroptyx,Trainee Data Analyst,France,No,Entry-level,2025-02-10,Yes,499,"Statistics, Machine Learning, Big Data, Data Visualization, SQL, Tableau",Not Disclosed
Cochrane,Data Analyst,Nigeria,Yes,Trainee,2025-02-05,No,200,"Statistics, ETL, Big Data, Data Visualization",€50K - €60K
CONNECTMETA.AI,Data Analyst,Portugal,Yes,Freelance,2025-02-05,No,388,"Power BI, Data Visualization, SQL",$50K - $70K
Peroptyx,Data Scientist,Spain,No,Mid-level,2025-01-24,No,34,"Excel, Big Data, SQL, Data Visualization",Not Disclosed
CapsLock,Online Data Analyst,Poland,No,Entry-level,2025-02-03,No,18,"Statistics, Power BI, Python, Big Data",€50K - €60K
CONNECTMETA.AI,Data Scientist,Poland,Yes,Senior,2025-02-05,No,53,"Python, Statistics, Tableau, ETL, Data Visualization",£30K - £40K
TELUS Digital,Data Science Intern,Italy,No,Senior,2025-02-04,Yes,145,"Python, Data Visualization, Power BI, SQL",£30K - £40K
Oeson Learning™,Online Data Analyst,Portugal,Yes,Freelance,2025-02-11,Yes,43,"Tableau, Power BI, Machine Learning",$70K - $90K
TELUS Digital,Trainee Data Analyst,France,No,Fellowship,2025-02-15,Yes,219,"SQL, Excel, Power BI, ETL",€50K - €60K
Cochrane,Online Data Analyst,United Kingdom,Yes,Fellowship,2025-02-10,Yes,368,"Machine Learning, SQL, Tableau, Big Data, Statistics",€50K - €60K
Found By Few,Online Data Analyst,Spain,No,Entry-level,2025-01-26,No,388,"Python, Excel, ETL, Data Visualization",€50K - €60K
Peroptyx,Data Scientist,Portugal,Yes,Entry-level,2025-01-29,Yes,216,"Excel, Python, ETL",$70K - $90K
Binance,Data Scientist,United Kingdom,No,Fellowship,2025-02-05,No,420,"Python, Excel, Machine Learning, Statistics",£40K - £50K
Peroptyx,Trainee Data Analyst,Saudi Arabia,Yes,Trainee,2025-02-21,Yes,13,"Power BI, SQL, ETL, Big Data, Python, Tableau",£30K - £40K
Binance,Freelance Online Data Analyst,Germany,No,Freelance,2025-01-24,No,76,"ETL, Tableau, Python, Data Visualization, Statistics, Big Data",$70K - $90K
Cochrane,Sustainability Data Analyst,France,Yes,Fellowship,2025-02-07,No,287,"Tableau, Big Data, Machine Learning, SQL, Excel",Not Disclosed
TELUS Digital,Sustainability Data Analyst,Portugal,Yes,Entry-level,2025-02-02,Yes,394,"Power BI, SQL, ETL, Statistics",€50K - €60K
Oeson Learning™,Data Scientist,UAE,Yes,Internship,2025-02-07,Yes,31,"Python, Excel, ETL, Big Data, SQL",Not Disclosed
Talent Glider,Online Data Analyst,UAE,No,Fellowship,2025-02-01,Yes,441,"Machine Learning, Excel, Big Data, Power BI",£30K - £40K
Cochrane,Sustainability Data Analyst,Germany,No,Mid-level,2025-02-08,Yes,117,"SQL, Power BI, Tableau",£30K - £40K
Talent Glider,Data Analyst,Italy,No,Freelance,2025-02-21,No,82,"Excel, Statistics, Tableau",$70K - $90K
Oeson Learning™,Sustainability Data Analyst,Poland,No,Internship,2025-02-07,Yes,338,"Python, Power BI, SQL, Data Visualization, Excel",€35K - €45K
Found By Few,Sustainability Data Analyst,Norway,Yes,Entry-level,2025-02-01,No,437,"Big Data, SQL, Statistics, Machine Learning",Not Disclosed
Found By Few,Data Analyst,Spain,No,Fellowship,2025-02-18,No,83,"ETL, Excel, Machine Learning",$70K - $90K
Found By Few,Data Scientist,Italy,Yes,Trainee,2025-01-29,Yes,423,"Power BI, Data Visualization, Machine Learning, Statistics, SQL, Big Data",€35K - €45K
Oeson Learning™,Sustainability Data Analyst,Germany,Yes,Senior,2025-02-17,No,44,"Statistics, Big Data, Tableau",Not Disclosed
CapsLock,Freelance Online Data Analyst,Ireland,No,Internship,2025-02-17,No,22,"Python, ETL, Big Data, Tableau, Power BI, SQL",€35K - €45K
CONNECTMETA.AI,Freelance Online Data Analyst,Poland,No,Entry-level,2025-02-21,No,92,"Excel, Data Visualization, Python",£40K - £50K
Cochrane,Freelance Online Data Analyst,Portugal,No,Fellowship,2025-02-18,No,98,"Tableau, Python, ETL, Statistics, Data Visualization",£40K - £50K
Dataleum,Data Science Intern,Saudi Arabia,No,Entry-level,2025-01-24,Yes,290,"Data Visualization, ETL, Excel",£40K - £50K
CapsLock,Online Data Analyst,Norway,No,Entry-level,2025-02-08,Yes,85,"Machine Learning, Excel, SQL, Python, Power BI",$70K - $90K
Talent Glider,Data Science Intern,Ireland,No,Freelance,2025-02-04,No,435,"ETL, Data Visualization, Power BI",Not Disclosed
Talent Glider,Freelance Online Data Analyst,United Kingdom,Yes,Entry-level,2025-02-10,Yes,26,"Data Visualization, Big Data, Python, SQL, Statistics, Power BI",£30K - £40K
Binance,Online Data Analyst,UAE,Yes,Trainee,2025-02-03,Yes,370,"Big Data, Excel, ETL, Machine Learning",$50K - $70K
Oeson Learning™,Sustainability Data Analyst,Saudi Arabia,Yes,Entry-level,2025-01-27,No,284,"Big Data, Tableau, SQL, Statistics",£40K - £50K
Oeson Learning™,Data Analyst,Norway,Yes,Internship,2025-01-27,No,293,"ETL, Data Visualization, Excel, SQL, Statistics",£30K - £40K
Peroptyx,Trainee Data Analyst,Ireland,No,Trainee,2025-02-09,No,406,"Machine Learning, Python, SQL, Tableau, ETL",Not Disclosed
CONNECTMETA.AI,Data Science Intern,Germany,No,Trainee,2025-02-01,No,355,"Excel, Data Visualization, Python",$50K - $70K
Cochrane,Data Analyst,Saudi Arabia,No,Fellowship,2025-02-03,No,84,"Power BI, Python, Machine Learning",Not Disclosed
Binance,Data Scientist,UAE,Yes,Senior,2025-02-04,No,176,"Excel, Python, Power BI",€35K - €45K
Dataleum,Online Data Analyst,Nigeria,Yes,Senior,2025-01-28,Yes,87,"Power BI, Big Data, Machine Learning, Tableau, Data Visualization, SQL",£30K - £40K
Talent Glider,Online Data Analyst,Italy,No,Freelance,2025-01-31,No,298,"Statistics, Data Visualization, ETL",£30K - £40K
Peroptyx,Trainee Data Analyst,Saudi Arabia,Yes,Mid-level,2025-02-13,Yes,99,"SQL, Machine Learning, ETL",Not Disclosed
CapsLock,Freelance Online Data Analyst,Nigeria,No,Fellowship,2025-02-01,No,333,"SQL, Power BI, Tableau, ETL, Big Data",£30K - £40K
CapsLock,Freelance Online Data Analyst,Spain,No,Fellowship,2025-01-29,No,30,"Statistics, Power BI, Data Visualization, Excel, Machine Learning",€35K - €45K
CapsLock,Data Analyst,Portugal,Yes,Mid-level,2025-02-17,Yes,485,"Tableau, SQL, Statistics, Data Visualization, Python, Excel",$70K - $90K
Dataleum,Data Science Intern,Poland,Yes,Mid-level,2025-02-17,No,408,"ETL, Data Visualization, Excel, Python, Machine Learning",$50K - $70K
Cochrane,Sustainability Data Analyst,United Kingdom,No,Mid-level,2025-02-07,Yes,192,"Machine Learning, Statistics, ETL, Tableau, Data Visualization",£30K - £40K
Dataleum,Trainee Data Analyst,Germany,No,Mid-level,2025-02-10,No,69,"Power BI, ETL, Excel",$50K - $70K
Peroptyx,Online Data Analyst,Norway,Yes,Senior,2025-02-16,Yes,178,"Excel, Machine Learning, Data Visualization, Power BI, Python",£40K - £50K
Peroptyx,Data Scientist,Ireland,Yes,Internship,2025-02-16,Yes,448,"Data Visualization, Power BI, Tableau, Excel",€50K - €60K
Found By Few,Data Scientist,Spain,Yes,Senior,2025-02-13,No,493,"Data Visualization, Python, Power BI, Machine Learning, SQL, Excel",$70K - $90K
Found By Few,Data Scientist,Saudi Arabia,Yes,Senior,2025-02-20,No,361,"Excel, ETL, Power BI, Big Data, Machine Learning",Not Disclosed
Oeson Learning™,Data Analyst,Ireland,No,Internship,2025-02-02,Yes,462,"Big Data, Python, Power BI, SQL",£30K - £40K
Oeson Learning™,Trainee Data Analyst,United Kingdom,Yes,Fellowship,2025-02-17,Yes,344,"Big Data, Power BI, Python, ETL, Tableau, Excel",$70K - $90K
Cochrane,Data Analyst,United Kingdom,No,Fellowship,2025-02-16,Yes,312,"SQL, Python, Tableau, Excel, ETL, Statistics",$50K - $70K
Peroptyx,Data Scientist,Italy,Yes,Trainee,2025-01-30,Yes,162,"SQL, Python, Machine Learning, Data Visualization, Power BI, Excel",€35K - €45K
Found By Few,Trainee Data Analyst,Nigeria,Yes,Trainee,2025-02-22,No,233,"Data Visualization, SQL, Python, Tableau",£30K - £40K
Dataleum,Sustainability Data Analyst,France,No,Senior,2025-02-11,No,238,"Tableau, Data Visualization, Power BI, SQL",£30K - £40K
CONNECTMETA.AI,Trainee Data Analyst,United Kingdom,No,Mid-level,2025-01-24,No,234,"ETL, Tableau, Machine Learning",£30K - £40K
Cochrane,Sustainability Data Analyst,Poland,No,Entry-level,2025-01-30,Yes,468,"Statistics, SQL, Excel, Power BI",£40K - £50K
Peroptyx,Online Data Analyst,Italy,Yes,Senior,2025-01-28,No,230,"Big Data, Statistics, SQL, Python, Machine Learning, Data Visualization",$50K - $70K
CapsLock,Online Data Analyst,Ireland,Yes,Fellowship,2025-02-22,Yes,329,"Machine Learning, Data Visualization, SQL, ETL, Excel, Python",$70K - $90K
Binance,Sustainability Data Analyst,UAE,No,Senior,2025-01-26,No,251,"ETL, Power BI, Tableau, Python, Machine Learning",£30K - £40K
Peroptyx,Data Scientist,Germany,Yes,Mid-level,2025-01-27,No,158,"ETL, SQL, Big Data, Tableau",€50K - €60K
Oeson Learning™,Sustainability Data Analyst,Poland,Yes,Trainee,2025-02-17,Yes,246,"Data Visualization, Excel, Power BI, Big Data",€35K - €45K
TELUS Digital,Online Data Analyst,United Kingdom,No,Internship,2025-02-12,Yes,170,"Data Visualization, Power BI, SQL, Python, ETL",$50K - $70K
Binance,Data Scientist,Poland,Yes,Internship,2025-01-24,No,335,"ETL, Statistics, Power BI, SQL, Python, Tableau",$70K - $90K
CONNECTMETA.AI,Freelance Online Data Analyst,Nigeria,No,Mid-level,2025-02-10,No,353,"Excel, SQL, Python, ETL",$50K - $70K
Cochrane,Freelance Online Data Analyst,Poland,Yes,Freelance,2025-02-02,Yes,485,"Data Visualization, Excel, ETL",€35K - €45K
CapsLock,Freelance Online Data Analyst,Poland,Yes,Internship,2025-02-09,No,30,"Tableau, Python, Big Data, Excel, Data Visualization, SQL",£40K - £50K
TELUS Digital,Data Science Intern,Germany,No,Trainee,2025-02-11,No,243,"Data Visualization, Machine Learning, ETL, SQL",€50K - €60K
Dataleum,Data Science Intern,Norway,Yes,Mid-level,2025-02-15,No,349,"Statistics, Tableau, Excel",€35K - €45K
Peroptyx,Sustainability Data Analyst,Nigeria,Yes,Freelance,2025-02-04,No,132,"Excel, SQL, Power BI",€50K - €60K
Cochrane,Online Data Analyst,Portugal,Yes,Fellowship,2025-02-14,No,339,"Data Visualization, Excel, Machine Learning, Python, Statistics",£30K - £40K
Cochrane,Freelance Online Data Analyst,Poland,Yes,Trainee,2025-02-14,Yes,234,"ETL, Big Data, Power BI",£30K - £40K
Dataleum,Online Data Analyst,Nigeria,No,Entry-level,2025-01-25,Yes,382,"Python, Tableau, Statistics",$50K - $70K
Binance,Sustainability Data Analyst,Nigeria,Yes,Trainee,2025-02-15,No,76,"Power BI, Tableau, Python, Big Data",£30K - £40K
Oeson Learning™,Data Scientist,United Kingdom,Yes,Fellowship,2025-02-08,No,487,"Statistics, Big Data, Python, Excel, Tableau",Not Disclosed
TELUS Digital,Trainee Data Analyst,Spain,Yes,Entry-level,2025-02-09,Yes,327,"Python, Machine Learning, ETL, Power BI, SQL, Statistics",£30K - £40K
CONNECTMETA.AI,Freelance Online Data Analyst,Italy,Yes,Entry-level,2025-02-21,No,322,"ETL, Statistics, Power BI",Not Disclosed
Found By Few,Sustainability Data Analyst,Nigeria,No,Trainee,2025-02-18,No,53,"SQL, Machine Learning, Data Visualization, Tableau, Python, ETL",$70K - $90K
Oeson Learning™,Data Analyst,Poland,Yes,Trainee,2025-01-26,Yes,344,"Excel, Power BI, Python, Machine Learning",€35K - €45K
Found By Few,Online Data Analyst,Poland,Yes,Internship,2025-02-01,No,196,"Statistics, ETL, Python, Excel, Tableau, Machine Learning",$70K - $90K
Cochrane,Trainee Data Analyst,Italy,Yes,Mid-level,2025-02-18,Yes,29,"Statistics, ETL, Data Visualization, Tableau",€50K - €60K
Oeson Learning™,Freelance Online Data Analyst,Nigeria,No,Freelance,2025-02-21,Yes,464,"Machine Learning, Statistics, ETL",$50K - $70K
CONNECTMETA.AI,Trainee Data Analyst,Portugal,Yes,Fellowship,2025-02-13,No,430,"Power BI, Tableau, Excel, Machine Learning, SQL",$50K - $70K
Dataleum,Online Data Analyst,France,No,Entry-level,2025-01-27,Yes,133,"Big Data, Machine Learning, Excel",$50K - $70K
CONNECTMETA.AI,Sustainability Data Analyst,France,No,Entry-level,2025-02-01,No,137,"Excel, Statistics, SQL, Data Visualization, Machine Learning",€50K - €60K
Found By Few,Data Science Intern,Spain,Yes,Trainee,2025-02-03,Yes,125,"Tableau, ETL, Python",£30K - £40K
Found By Few,Data Analyst,France,No,Trainee,2025-02-02,Yes,260,"Data Visualization, Excel, SQL, Python",$50K - $70K
Peroptyx,Data Scientist,United Kingdom,Yes,Fellowship,2025-02-06,No,84,"Power BI, Big Data, Statistics",£30K - £40K
Found By Few,Data Scientist,France,No,Trainee,2025-01-24,No,427,"Data Visualization, Big Data, Power BI, Statistics, ETL, Tableau",€50K - €60K
Peroptyx,Trainee Data Analyst,Poland,No,Fellowship,2025-02-17,No,25,"Tableau, SQL, Power BI, Python",£40K - £50K
Oeson Learning™,Freelance Online Data Analyst,Ireland,No,Internship,2025-02-15,Yes,151,"Power BI, ETL, Excel, Data Visualization, Big Data",£30K - £40K
Cochrane,Data Science Intern,Nigeria,Yes,Trainee,2025-02-15,No,154,"Data Visualization, Power BI, Excel, Big Data",€35K - €45K
Dataleum,Data Science Intern,United Kingdom,No,Freelance,2025-02-10,No,433,"Statistics, Data Visualization, Power BI, Python",€35K - €45K
Oeson Learning™,Freelance Online Data Analyst,France,No,Internship,2025-02-06,No,118,"Statistics, Power BI, SQL, ETL, Machine Learning",€50K - €60K
CONNECTMETA.AI,Freelance Online Data Analyst,United Kingdom,Yes,Fellowship,2025-02-05,Yes,423,"ETL, SQL, Statistics, Tableau, Python, Machine Learning",€50K - €60K
Oeson Learning™,Data Scientist,Norway,Yes,Trainee,2025-02-09,Yes,318,"Statistics, SQL, Python, Data Visualization",$70K - $90K
Found By Few,Sustainability Data Analyst,UAE,Yes,Internship,2025-02-12,Yes,95,"SQL, Machine Learning, Python, Power BI",$50K - $70K
CapsLock,Trainee Data Analyst,Ireland,Yes,Trainee,2025-02-09,Yes,167,"Tableau, Excel, ETL, Python",£30K - £40K
Binance,Data Analyst,Poland,Yes,Entry-level,2025-02-16,Yes,95,"Excel, Machine Learning, Data Visualization, Python, Power BI",$70K - $90K
Talent Glider,Sustainability Data Analyst,Ireland,Yes,Mid-level,2025-02-16,No,141,"Data Visualization, ETL, Statistics, Python, Machine Learning",£40K - £50K
Found By Few,Trainee Data Analyst,Ireland,No,Entry-level,2025-01-27,No,253,"Big Data, Python, ETL, Machine Learning",€35K - €45K
Talent Glider,Online Data Analyst,United Kingdom,No,Freelance,2025-02-11,No,57,"Statistics, ETL, Python, Tableau",£40K - £50K
Found By Few,Freelance Online Data Analyst,Spain,Yes,Internship,2025-02-06,No,75,"Tableau, Machine Learning, Excel, Data Visualization, Statistics, Python",€35K - €45K
Binance,Data Scientist,Germany,No,Mid-level,2025-02-10,Yes,455,"Big Data, Machine Learning, Tableau, Excel, ETL",€35K - €45K
Cochrane,Online Data Analyst,Spain,No,Senior,2025-02-18,No,468,"Statistics, SQL, ETL, Tableau, Excel",£40K - £50K
Oeson Learning™,Data Scientist,Italy,No,Entry-level,2025-02-18,Yes,457,"Tableau, Machine Learning, Big Data, Power BI, Excel, ETL",£40K - £50K
Talent Glider,Data Scientist,Ireland,No,Freelance,2025-01-30,Yes,315,"SQL, Python, Power BI, Big Data, Machine Learning, Tableau",$70K - $90K
Oeson Learning™,Data Analyst,Germany,No,Freelance,2025-02-22,No,456,"Statistics, Data Visualization, Tableau",$50K - $70K
Dataleum,Data Science Intern,Spain,No,Fellowship,2025-02-14,Yes,259,"ETL, Python, Machine Learning, Big Data, Statistics",$50K - $70K
Dataleum,Freelance Online Data Analyst,Spain,Yes,Mid-level,2025-02-03,Yes,364,"Machine Learning, Python, Excel",£30K - £40K
Oeson Learning™,Data Analyst,France,No,Entry-level,2025-02-05,Yes,255,"Data Visualization, Big Data, Power BI, Tableau",Not Disclosed
Found By Few,Data Science Intern,United Kingdom,Yes,Fellowship,2025-01-30,Yes,120,"Data Visualization, Power BI, SQL, Python, Excel, ETL",£40K - £50K
Binance,Freelance Online Data Analyst,Spain,No,Internship,2025-02-11,No,359,"Excel, Statistics, Big Data, Python",$70K - $90K
Binance,Online Data Analyst,Italy,Yes,Trainee,2025-01-26,No,33,"Machine Learning, Excel, Tableau, ETL, SQL, Power BI",$70K - $90K
CapsLock,Data Scientist,Norway,No,Mid-level,2025-02-05,No,423,"Machine Learning, Python, Data Visualization, ETL, Excel, Tableau",Not Disclosed
Peroptyx,Online Data Analyst,UAE,Yes,Fellowship,2025-02-18,Yes,242,"SQL, Data Visualization, Power BI, ETL, Machine Learning, Big Data",Not Disclosed
Binance,Freelance Online Data Analyst,Portugal,No,Senior,2025-02-09,Yes,413,"Big Data, Machine Learning, Tableau, Power BI, Data Visualization, SQL",€50K - €60K
Found By Few,Data Analyst,Germany,No,Fellowship,2025-01-26,Yes,217,"Python, SQL, Tableau, Big Data",$70K - $90K
Found By Few,Sustainability Data Analyst,Poland,Yes,Freelance,2025-01-29,Yes,148,"Tableau, Data Visualization, Excel, Python",Not Disclosed
CapsLock,Sustainability Data Analyst,United Kingdom,Yes,Internship,2025-01-27,No,53,"SQL, Data Visualization, Tableau",€50K - €60K
CapsLock,Freelance Online Data Analyst,Nigeria,No,Senior,2025-02-13,No,499,"Data Visualization, Statistics, Excel, Power BI",€35K - €45K
TELUS Digital,Data Analyst,Nigeria,No,Mid-level,2025-02-13,No,56,"Big Data, Machine Learning, ETL, Tableau",£30K - £40K
Binance,Freelance Online Data Analyst,Poland,No,Internship,2025-02-17,Yes,463,"Python, Tableau, SQL",£40K - £50K
Cochrane,Sustainability Data Analyst,Portugal,No,Freelance,2025-02-18,No,13,"Power BI, Tableau, Statistics, Excel",$50K - $70K
TELUS Digital,Data Science Intern,Germany,No,Fellowship,2025-02-21,Yes,218,"Python, Data Visualization, Machine Learning, ETL",Not Disclosed
TELUS Digital,Data Science Intern,Saudi Arabia,No,Freelance,2025-02-22,No,205,"Data Visualization, Tableau, SQL",$50K - $70K
Talent Glider,Data Science Intern,Poland,No,Internship,2025-02-15,No,286,"Big Data, Tableau, Data Visualization, Machine Learning",£30K - £40K
CapsLock,Trainee Data Analyst,Ireland,Yes,Senior,2025-02-16,Yes,85,"SQL, Big Data, Statistics, Excel",£30K - £40K
CapsLock,Online Data Analyst,United Kingdom,No,Senior,2025-02-09,No,487,"Python, Tableau, Data Visualization",$50K - $70K
CapsLock,Trainee Data Analyst,Ireland,No,Trainee,2025-02-11,No,119,"Statistics, Machine Learning, Tableau",$50K - $70K
Peroptyx,Sustainability Data Analyst,France,No,Mid-level,2025-02-05,No,419,"Machine Learning, Big Data, ETL",$50K - $70K
CONNECTMETA.AI,Online Data Analyst,Nigeria,No,Senior,2025-02-09,No,97,"Python, Data Visualization, Machine Learning, Big Data, Excel, ETL",$70K - $90K
Cochrane,Freelance Online Data Analyst,Portugal,No,Senior,2025-02-06,No,453,"Excel, Tableau, Python",Not Disclosed
Peroptyx,Sustainability Data Analyst,Saudi Arabia,No,Fellowship,2025-02-04,Yes,22,"Big Data, Power BI, Tableau, Machine Learning",€35K - €45K
Cochrane,Data Science Intern,Ireland,No,Trainee,2025-02-10,No,429,"SQL, Machine Learning, Python, ETL",£40K - £50K
CONNECTMETA.AI,Trainee Data Analyst,Germany,Yes,Mid-level,2025-02-15,No,192,"Big Data, Tableau, Data Visualization",Not Disclosed
Dataleum,Freelance Online Data Analyst,Portugal,No,Entry-level,2025-01-30,No,251,"Machine Learning, Tableau, Big Data, Excel, Python, Power BI",$70K - $90K
TELUS Digital,Online Data Analyst,Norway,No,Internship,2025-01-31,Yes,247,"Python, ETL, Statistics, Big Data, Excel, Machine Learning",€50K - €60K
Peroptyx,Online Data Analyst,Italy,Yes,Senior,2025-02-18,Yes,355,"Tableau, Data Visualization, Python, SQL",$50K - $70K
CONNECTMETA.AI,Online Data Analyst,Nigeria,No,Fellowship,2025-02-17,Yes,496,"Machine Learning, Power BI, Python, Statistics",£30K - £40K
Peroptyx,Online Data Analyst,United Kingdom,Yes,Freelance,2025-02-06,No,479,"Machine Learning, Power BI, Excel, Big Data",$70K - $90K
Found By Few,Trainee Data Analyst,United Kingdom,Yes,Entry-level,2025-01-28,No,500,"Statistics, Excel, Big Data",€50K - €60K
Binance,Trainee Data Analyst,France,Yes,Internship,2025-01-30,Yes,168,"ETL, Machine Learning, Excel, SQL, Data Visualization, Python",€35K - €45K
Talent Glider,Data Science Intern,Saudi Arabia,Yes,Entry-level,2025-02-03,No,241,"Machine Learning, Power BI, Data Visualization, Statistics",€35K - €45K
Found By Few,Data Scientist,Germany,Yes,Trainee,2025-02-03,Yes,219,"Python, ETL, Machine Learning, Excel, Data Visualization",£40K - £50K
CapsLock,Online Data Analyst,UAE,Yes,Internship,2025-02-18,No,24,"Tableau, Big Data, Data Visualization",Not Disclosed
Talent Glider,Data Science Intern,Poland,No,Fellowship,2025-02-08,Yes,193,"Power BI, Python, Excel, Machine Learning, Tableau",€50K - €60K
CONNECTMETA.AI,Data Science Intern,UAE,No,Fellowship,2025-02-12,No,337,"Python, Power BI, Tableau",Not Disclosed
CONNECTMETA.AI,Freelance Online Data Analyst,Germany,No,Trainee,2025-01-30,No,346,"Python, Tableau, ETL",$50K - $70K
CONNECTMETA.AI,Freelance Online Data Analyst,Portugal,No,Entry-level,2025-02-20,Yes,441,"Big Data, Python, ETL, Machine Learning, Power BI, Data Visualization",$50K - $70K
Oeson Learning™,Data Science Intern,Italy,Yes,Mid-level,2025-02-04,No,113,"SQL, Excel, Big Data, Data Visualization, Statistics, Power BI",£40K - £50K
Found By Few,Freelance Online Data Analyst,Ireland,Yes,Fellowship,2025-02-17,No,231,"Big Data, Power BI, Data Visualization",£30K - £40K
CONNECTMETA.AI,Data Science Intern,Spain,No,Fellowship,2025-01-28,Yes,423,"Tableau, Statistics, Excel",€35K - €45K
Dataleum,Data Analyst,Italy,Yes,Internship,2025-01-25,No,306,"Machine Learning, Excel, Python, Tableau",$70K - $90K
CapsLock,Data Scientist,Nigeria,Yes,Senior,2025-02-10,No,353,"SQL, Excel, Data Visualization, ETL, Tableau, Power BI",Not Disclosed
Peroptyx,Sustainability Data Analyst,Italy,Yes,Fellowship,2025-02-14,No,308,"Statistics, SQL, Excel, Big Data, Tableau",$70K - $90K
TELUS Digital,Data Analyst,United Kingdom,Yes,Trainee,2025-01-30,Yes,204,"Machine Learning, Python, ETL",$50K - $70K
Cochrane,Data Science Intern,France,No,Freelance,2025-01-27,No,145,"SQL, Big Data, Excel, Data Visualization",€50K - €60K
CONNECTMETA.AI,Online Data Analyst,Portugal,No,Freelance,2025-02-02,Yes,73,"Statistics, Excel, ETL",€50K - €60K
